Date,Open,High,Low,Last,Diff_Open_Cls
3/24/2020,6405.78,6860,6302.25,6751.94,-346.16
3/25/2020,6751.94,6986.39,6446.4,6595.62,156.32
3/26/2020,6603.13,6797.58,6521.3,6745,-141.87
3/27/2020,6741.29,6870,6576.1,6682,59.29
3/28/2020,6239.49,6334.37,6026.21,6245.95,-6.46
3/29/2020,6125.23,6176.23,5867,5953.7,171.53
3/30/2020,6106.77,6524.45,5846.2,6464.77,-358
3/31/2020,6477.8,6630,6325.54,6474.1,3.7
4/1/2020,6475.5,6504.7,6145.82,6350.03,125.47
4/2/2020,6345.37,7270.9,6332.77,6739.55,-394.18
4/3/2020,6742.87,7050.27,6601,6706.9,35.97
4/4/2020,6742,7015.85,6653.9,6837.18,-95.18
4/5/2020,6871.65,6913.89,6678.08,6759.61,112.04
4/6/2020,6802.75,7321.46,6720.5,7227.9,-425.15
4/7/2020,7242,7466.3,7076.75,7113.37,128.63
4/8/2020,7113.37,7436.52,7081.85,7316.61,-203.24
4/9/2020,7324.75,7402.25,7107.38,7302,22.75
4/10/2020,7298.9,7330.51,6750.15,6917.23,381.67
4/11/2020,6921.43,6963,6758.01,6794.99,126.44
4/12/2020,6794.71,7205.13,6772.4,7120.75,-326.04
4/13/2020,7119.83,7184.45,6542.91,6825.62,294.21
4/14/2020,6825.25,7000.62,6762.9,6870.39,-45.14
4/15/2020,6868.7,6956.15,6685.69,6755.75,112.95
4/16/2020,6766.99,7166,6457.61,7057.49,-290.5
4/17/2020,7057.49,7216.85,6988.08,7054.72,2.77
4/18/2020,7061.69,7283.9,7020,7226.77,-165.08
4/19/2020,7241.6,7305,7024.5,7141.34,100.26
4/20/2020,7159.5,7230.5,6753,6864.65,294.85
4/21/2020,6862,6962.93,6763.24,6890.29,-28.29
4/22/2020,6890.75,7173.49,6820.72,7118.78,-228.03
4/23/2020,7116.25,7772.82,7031.07,7540.5,-424.25
4/24/2020,7536.36,7623.84,7388.29,7531.75,4.61
4/25/2020,7529.68,7717.47,7428.65,7548.6,-18.92
4/26/2020,7551.75,7711.72,7474.9,7644.53,-92.78
4/27/2020,7632,7811.26,7578.6,7706.09,-74.09
4/28/2020,7705.88,7804.35,7649.69,7735.79,-29.91
4/29/2020,7719,8980.93,7703,8929.13,-1210.13
4/30/2020,8930.25,9472.35,8392.2,8822.59,107.66
5/1/2020,8822.69,9076.92,8582.9,8730.3,92.39
5/2/2020,9648,9675.86,8107.75,8668.45,979.55
5/3/2020,10000,10022,9498.9,9648,352
5/4/2020,8843,8982.65,8528.42,8918.22,-75.22
5/5/2020,8918.22,9120.24,8760,8957.35,-39.13
5/6/2020,8939,9396.58,8906.54,9253.74,-314.74
5/7/2020,9250,9972.02,9029,9801.25,-551.25
5/8/2020,9806.41,10078,9706.11,10000,-193.59
5/9/2020,10000,10022,9498.9,9648,352
5/10/2020,9648,9675.86,8107.75,8668.45,979.55
5/11/2020,8493.48,9182.63,8181,8633.99,-140.51
5/12/2020,8634,8981,8460.11,8817.13,-183.13
5/13/2020,8817.13,9342.47,8735.6,9295.62,-478.49
5/14/2020,9295.61,9954.13,9254.86,9663.5,-367.89
5/15/2020,9656.5,9851.25,9112,9237.2,419.3
5/16/2020,9238.74,9585.76,9199,9379.5,-140.76
5/17/2020,9379.72,9890.3,9304,9739.01,-359.29
5/18/2020,9748.47,9958.01,9450.68,9673.73,74.74
5/19/2020,9682.1,9900,9455,9694.27,-12.17
5/20/2020,9683.58,9843.12,9281.68,9590.01,93.57
5/21/2020,9587.25,9590.5,8800,9060,527.25
5/22/2020,9060,9265.19,8920,9183.75,-123.75
5/23/2020,9178.32,9315,9080,9233.84,-55.52
5/24/2020,9233.84,9307.82,8842.43,9001,232.84
5/25/2020,8937.49,9079.54,8630,8916.79,20.7
5/26/2020,8905.5,9015.46,8682.6,8857.39,48.11
5/27/2020,8858.25,9229.79,8799.51,9172.9,-314.65
5/28/2020,9167.45,9539.89,9048.36,9451.4,-283.95
5/29/2020,9442.25,9629.5,9323.01,9415.75,26.5
5/30/2020,9415.75,9595.66,9322.3,9439.7,-23.95
5/31/2020,9430.72,9750.33,9417.57,9507.92,-77.2
6/1/2020,9493.54,9695.34,9359.3,9681.1,-187.56
6/2/2020,9679.2,10407.28,9150,9519.27,159.93
6/3/2020,9519.27,9646.21,9382,9580.46,-61.19
6/4/2020,9584,9887.64,9430,9785.49,-201.49
6/5/2020,9785.36,9862.1,9588,9713.59,71.77
6/6/2020,9713.59,9748.07,9500.8,9700.2,13.39
6/7/2020,9702.79,9819.05,9356,9729.74,-26.95
6/8/2020,9535.75,9819.05,9515,9701.85,-166.1
6/9/2020,9701.86,9896.99,9558.89,9747,-45.14
6/10/2020,9757.5,10010,9578,9865.36,-107.86
6/11/2020,9865.36,10013.34,9041.96,9337,528.36
6/12/2020,9338.51,9567.65,9228.3,9461.83,-123.32
6/13/2020,9461.83,9507.07,9344.09,9397.68,64.15
6/14/2020,9397.69,9491.76,9306,9381.7,15.99
6/15/2020,9380,9491.29,8900,9488.6,-108.6
6/16/2020,9488.7,9592.32,9361.52,9491.79,-3.09
6/17/2020,9491.79,9564.82,9230.2,9373.75,118.04
6/18/2020,9370.54,9495.6,9288.94,9338.36,32.18
6/19/2020,9338.36,9440.4,9212.8,9314.44,23.92
6/20/2020,9314.94,9389.7,9147.57,9316.33,-1.39
6/21/2020,9316.33,9430,9280.1,9328.1,-11.77
6/22/2020,9307.5,9675.3,9267.2,9645.76,-338.26
6/23/2020,9641.66,9794.3,9560.73,9628.5,13.16
6/24/2020,9630,9684,9193.99,9289.17,340.83
6/25/2020,9289.17,9339.71,8981.22,9275.58,13.59
6/26/2020,9275.58,9346.1,9024.61,9185.59,89.99
6/27/2020,9207.4,9237.79,8825,8943.17,264.23
6/28/2020,8944.49,9194.37,8933,9104.43,-159.94
6/29/2020,9160,9198.5,9013.9,9178.24,-18.24
6/30/2020,9178.25,9241.4,9060,9144.25,34
7/1/2020,9147.13,9301.37,9047,9239.75,-92.62
7/2/2020,9239.75,9273,8939,9077.53,162.22
7/3/2020,9082,9181.45,9044.79,9088.51,-6.51
7/4/2020,9097.3,9206.16,9030.53,9132.7,-35.4
7/5/2020,8944.49,9164.49,8969.23,9010.86,-66.37
7/6/2020,9038.9,9369.6,8905,9274.91,-236.01
7/7/2020,9275.03,9389.4,9197.09,9253.67,21.36
7/8/2020,9252.75,9490,9217.77,9432,-179.25
7/9/2020,9426.08,9481.3,9153.91,9233,193.08
7/10/2020,9241.47,9266,9053.14,9233.75,7.72
7/11/2020,9241.47,9266,9053.14,9233.75,7.72
7/12/2020,9215.25,9363.8,9153.48,9240.5,-25.25
7/13/2020,9216,9351.17,9153.48,9245.52,-29.52
7/14/2020,9245.4,9286.1,9091.76,9272.5,-27.1
7/15/2020,9279.8,9283.5,9150,9210.33,69.47
7/16/2020,9210.33,9245.3,9028.47,9102.22,108.11
7/17/2020,9102.7,9220.01,9073.35,9164.3,-61.6
7/18/2020,9164.3,9225.59,9122.58,9192.6,-28.3
7/19/2020,9177.5,9194.76,9105,9174.65,2.85
7/20/2020,9159.09,9249.4,9128.2,9170.28,-11.19
7/21/2020,9170.32,9455,9146.01,9368.75,-198.43
7/22/2020,9380.45,9407.1,9232.4,9390,-9.55
7/23/2020,9378.25,9685.4,9358.45,9595.82,-217.57
7/24/2020,9595.83,9638.9,9473.31,9627.9,-32.07
7/25/2020,9628.3,9753.2,9526,9736.5,-108.2
7/26/2020,9736.5,10190.71,9649.65,9897.83,-161.33
7/27/2020,9930.81,10961.67,9829.9,10892.7,-961.89
7/28/2020,10889.02,11417.48,10559.5,10976.83,-87.81
7/29/2020,10976.83,11302,10848.2,11218.48,-241.65
7/30/2020,11223.25,11354,10827.5,11146.75,76.5
7/31/2020,11145.43,11466.31,10972.3,11340.25,-194.82
8/1/2020,11341.8,11906.66,11229.96,11839.82,-498.02
8/2/2020,11848.5,12131.36,10559.59,11096.66,751.84
8/3/2020,11231.5,11485.33,10910.21,11382.66,-151.16
