Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
10/31/2020 18:30,13778.28,13778.29,13700,13737.57,994.3408,42.18471146,69.89250773,13925.57409,13779.25374,13632.93339
10/31/2020 19:00,13737.56,13767.05,13704.34,13717.1,971.1132,32.92094458,62.4981951,13928.1644,13773.33434,13618.50427
10/31/2020 19:30,13717.1,13779,13675.13,13772.81,1201.4726,29.73194267,55.94494461,13927.48652,13773.2844,13619.08228
10/31/2020 20:00,13772.81,13809.89,13759.99,13781.3,713.318,27.57187631,50.27033095,13917.75526,13774.04779,13630.34032
10/31/2020 20:30,13781.3,13808.67,13745.39,13807.15,623.1002,27.62741546,45.74174785,13917.55115,13777.20038,13636.84962
10/31/2020 21:00,13807.15,13839.4,13793.99,13837.99,792.34,29.81625764,42.55664981,13917.90235,13782.98987,13648.07738
10/31/2020 21:30,13837.99,13848.22,13807.44,13829.95,487.5338,30.55000855,40.15532156,13915.76977,13787.46226,13659.15475
10/31/2020 22:00,13829.96,13842.04,13812.43,13838.82,503.1897,31.48431472,38.42112019,13899.08335,13792.35348,13685.6236
10/31/2020 22:30,13838.83,13850,13816.38,13846.91,572.2773,32.5028815,37.23747245,13893.59138,13797.54933,13701.50729
10/31/2020 23:00,13846.91,13890,13844,13866.98,780.9188,34.53152633,36.69628323,13895.50656,13804.16178,13712.817
10/31/2020 23:30,13866.99,13869.64,13762.61,13786.07,1151.4479,29.27303979,35.21163454,13884.67123,13802.43875,13720.20627
11/1/2020 0:00,13786.9,13824.13,13765.14,13791.01,516.4105,25.21362111,33.21203185,13879.47666,13801.3503,13723.22394
11/1/2020 0:30,13791,13895,13708.88,13839.9,1621.5077,25.64588714,31.69880291,13884.12797,13805.0217,13725.91543
11/1/2020 1:00,13839.9,13851.77,13660,13725.96,1882.062,16.60306552,28.67965543,13883.89264,13797.49201,13711.09139
11/1/2020 1:30,13725.95,13768,13713.4,13730.53,552.0871,9.693583446,24.88244104,13883.05373,13791.11468,13699.17563
